,in_tSpDay,in_tSpNight,in_thetaLampMax,in_heatDeadZone,in_rhMax,month_sin,month_cos
LightGBM,341.3333333333333,304.6666666666667,334.6666666666667,357.6666666666667,357.3333333333333,169.66666666666666,280.6666666666667
Ridge,0.07244298793952333,0.03821864185956516,0.021602192034930936,0.07948421818165083,0.07337919284562082,0.18992459585456756,0.5249481712841415
LinearRegression,0.07241862832775277,0.038121670770304615,0.021630143272600943,0.07961402054697127,0.07338697853144714,0.18992435669911722,0.5249042018518061
ElasticNet,0.07241600593839273,0.038126288819069994,0.02112244994287088,0.07898251379933018,0.07310701945198139,0.19001702156544276,0.526228700482912
Lasso,0.07229110212872099,0.03773046817116326,0.020731100955970576,0.07890031528011082,0.07285927087986292,0.19011099312830618,0.5273767494558652
GradientBoosting,0.06684524044315131,0.027792987051544964,0.03548291585143976,0.06623065358875234,0.0428104389371674,0.1598386801649533,0.600999083962991
RandomForest,0.0617093902938425,0.017612900771741796,0.01155567838468998,0.0706071034930814,0.03257399341559148,0.25872613526480603,0.5472147983762469
ExtraTrees,0.05896354628672157,0.022313231271430756,0.013245727268438883,0.0608805897201149,0.030368443694974493,0.2148178782911755,0.5994105834671439
XGBoost,0.02705766260623932,0.018160970881581306,0.021418869495391846,0.03265761956572533,0.019778048619627953,0.17820793390274048,0.7027189135551453
