rank,model,avg_cv_r2,temp_cv_r2,rh_cv_r2,cost_cv_r2,temp_mae,rh_mae,cost_mae,infer_us,fit_s
1,GradientBoosting,0.9062,0.9411,0.8938,0.8836,0.9174,2.6162,0.0751,5.42,0.443
2,LightGBM,0.901,0.9378,0.9052,0.8599,0.789,2.5627,0.0805,3.414,0.774
3,XGBoost,0.9009,0.936,0.8933,0.8735,0.8775,2.6502,0.0809,1.833,0.792
4,ExtraTrees,0.8961,0.9234,0.9101,0.8548,0.9778,2.4928,0.1031,25.911,0.077
5,GaussianProcess,0.896,0.9518,0.8739,0.8623,0.7576,2.9431,0.0783,6.805,0.843
6,RandomForest,0.8847,0.9103,0.9034,0.8403,1.0954,2.666,0.1134,26.023,0.14
7,SVR_RBF,0.8627,0.9309,0.8317,0.8254,0.7998,2.9321,0.0918,28.592,0.02
8,MLP_128x64,0.8448,0.933,0.8177,0.7838,0.7046,2.8517,0.101,0.505,1.91
9,KNeighbors,0.8087,0.8611,0.7958,0.7693,1.2272,3.1801,0.0986,14.795,0.003
10,LinearRegression,0.7492,0.8838,0.6934,0.6703,1.3529,5.0396,0.148,0.269,0.002
11,Ridge,0.7492,0.8838,0.6934,0.6704,1.3532,5.0358,0.1478,0.268,0.001
12,ElasticNet,0.7491,0.8838,0.6934,0.6701,1.3524,5.0274,0.1453,0.271,0.001
13,Lasso,0.7484,0.8837,0.6934,0.668,1.3503,5.0313,0.144,0.271,0.001
