month,month_name,n_feasible,in_tSpDay,in_tSpNight,in_thetaLampMax,in_heatDeadZone,in_rhMax,month_sin,month_cos,pred_tAir_C,pred_tAir_F,pred_rh_pct,pred_cost_usd_m2
1,Jan,710,21.664,18.175,0.145,16.421,89.591,0.5,0.866,18.52,65.34,82.0,0.6375
2,Feb,2134,12.24,12.24,2.074,16.105,94.794,0.866,0.5,18.5,65.3,83.8,0.1891
3,Mar,3892,13.639,10.278,2.747,18.611,94.442,1.0,0.0,19.56,67.22,82.9,0.1508
4,Apr,4535,13.53,10.09,5.784,19.799,94.81,0.866,-0.5,22.5,72.5,71.5,0.1377
5,May,3860,10.221,10.221,1.242,13.642,94.742,0.5,-0.866,22.87,73.16,66.5,0.0437
6,Jun,1492,12.253,11.371,0.016,11.673,93.477,0.0,-1.0,24.93,76.88,57.8,0.0363
7,Jul,2257,10.198,10.198,0.806,13.85,94.809,-0.5,-0.866,25.38,77.68,55.2,0.0108
8,Aug,2421,10.448,10.448,1.11,19.781,89.373,-0.866,-0.5,26.36,79.45,55.8,0.0052
9,Sep,4850,13.097,10.129,3.712,18.477,94.739,-1.0,-0.0,21.62,70.92,75.5,0.0206
10,Oct,2782,11.518,11.518,2.282,18.406,94.366,-0.866,0.5,17.79,64.03,82.8,0.1449
11,Nov,1023,15.171,15.171,2.257,19.933,94.638,-0.5,0.866,17.52,63.53,82.3,0.6248
12,Dec,1061,21.818,10.59,6.306,19.554,94.695,-0.0,1.0,18.46,65.22,79.0,0.7198
