in_tSpDay,in_tSpNight,in_thetaLampMax,in_heatDeadZone,in_rhMax,month_sin,month_cos,out_mean_tAir_C,out_mean_rh_pct,out_cost_total_usd_m2
17.41888282357948,13.969181226361005,0.1953220676158165,16.93416465286681,93.18235385490453,1.2246467991473532e-16,-1.0,30.941645,47.217495,-0.038409855
16.239322972662183,14.060110721702369,0.1526894861304388,17.610815079028715,89.49168131084369,-0.4999999999999998,-0.8660254037844388,31.028631,51.85025,-0.030335652
15.582080397528298,15.582080397528298,1.5604727715141489,15.861434744138204,92.70379191644126,-0.4999999999999998,-0.8660254037844388,29.91286,52.378613,-0.008136732
17.273064611455922,11.737435927545128,4.635359835274168,16.093106530379753,88.78131682447807,-0.4999999999999998,-0.8660254037844388,29.827332,52.52974,-0.0048287734
12.828800895783111,11.862247889164323,0.35729665097401503,19.96342445145903,89.03586528823732,-0.4999999999999998,-0.8660254037844388,29.635902,53.330585,0.0067141596
16.49114034126936,10.494833000268557,14.80189536551055,16.063834713908452,93.40020134242111,-0.4999999999999998,-0.8660254037844388,28.75311,55.179092,0.0079161255
12.087227665162747,12.087227665162747,0.13103013305899278,16.45160207713685,90.87337563867746,-0.4999999999999998,-0.8660254037844388,26.959528,56.55464,0.011831894
16.885492909538936,13.985567706858527,5.028179541100305,13.125632526531819,85.2483312316709,-0.4999999999999998,-0.8660254037844388,27.204,57.862057,0.017914288
11.961419054505232,10.416985936270812,0.24940041620553444,14.92205445254816,87.55858423824615,-0.4999999999999998,-0.8660254037844388,25.898998,58.430965,0.01847386
19.005424039030775,12.712339299685588,0.370756171305509,18.84561897545577,85.86433163411635,0.49999999999999994,-0.8660254037844387,30.56737,60.104053,0.021753576
14.35374255536627,10.232052604168237,5.362548736586037,13.726036426321421,94.8474294826531,-1.0,-1.8369701987210297e-16,20.779873,76.03457,0.032607965
12.898304622261719,12.898304622261719,2.0665048952109597,16.305870135537194,92.24960272836502,-1.0,-1.8369701987210297e-16,22.025917,77.377335,0.086173505
13.867032888249453,13.867032888249453,4.617755771697257,19.10880204837098,94.84020216017316,-1.0,-1.8369701987210297e-16,22.938406,77.64472,0.10058435
17.433530895674025,13.662274645203041,5.265653450843698,19.7524886606378,91.2993411265395,-1.0,-1.8369701987210297e-16,24.38072,78.23617,0.10930518
12.56473838664089,10.391382541597629,1.3019362940953372,17.228959961903662,94.80866422123776,1.0,6.123233995736766e-17,19.057835,82.104576,0.12128633
14.223466820737713,10.179925230775577,10.724767788840133,18.090730788082286,94.10807762492715,1.0,6.123233995736766e-17,19.756279,82.68023,0.16016968
11.862157728763545,10.503282994684099,4.219410104689004,18.81138964991734,91.73371867027383,1.0,6.123233995736766e-17,18.276184,82.701324,0.1679814
10.960215462547195,10.240811433504415,18.807974450067817,13.86457751053809,92.92720258364197,-0.8660254037844386,0.5000000000000001,15.929829,82.834274,0.17726836
10.913182940233565,10.870304911933014,0.9328030516073602,14.28794007795987,93.06678245141269,0.8660254037844386,0.5000000000000001,15.901193,83.54876,0.18696721
11.48180126196178,11.48180126196178,2.434874474360727,16.748329072437024,89.86105980793818,-0.8660254037844386,0.5000000000000001,16.180422,83.836945,0.19200958
14.380087162102708,10.249389929903181,37.30641440750615,17.42867144765485,93.47660076816014,1.0,6.123233995736766e-17,19.704176,84.88224,0.20016652
11.00221515240312,11.00221515240312,22.665098246886124,15.973910842009728,93.2472961370564,0.8660254037844386,0.5000000000000001,16.01661,84.97111,0.26845974
14.135608279491805,14.135608279491805,35.22385870486948,16.68777256649675,93.82133268095532,1.0,6.123233995736766e-17,20.352842,85.671135,0.27396396
13.489975589282185,12.83431901099933,8.228808061823992,15.985115497586156,89.8440218058792,0.8660254037844386,0.5000000000000001,16.399157,85.8671,0.32419372
13.599867179687875,13.599867179687875,41.28359670532777,14.121452455555453,89.87981743229511,0.8660254037844386,0.5000000000000001,16.34563,86.019165,0.4208857
21.20960405965706,14.644765786727554,37.384714020996306,14.693064377714622,91.68055765029499,0.8660254037844386,0.5000000000000001,19.053911,86.197365,0.6209874
14.735016885299157,12.924311264940844,25.100842255224308,14.852291149596265,89.9075213258304,0.49999999999999994,0.8660254037844387,14.533058,86.538284,0.9729082
